person,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0,0,0,2,0,0,1,2,4,1,1,4,1
B,0,0,2,3,0,1,2,0,1,0,4,1,2
C,0,2,0,0,2,2,0,0,0,4,3,0,1
D,2,3,0,0,1,3,3,2,0,0,0,1,1
E,0,0,2,1,0,3,1,2,1,2,0,2,1
F,0,1,2,3,3,0,1,3,0,2,0,0,0
G,1,2,0,3,1,1,0,2,1,2,1,0,4
H,2,0,0,2,2,3,2,0,2,0,1,2,0
I,4,1,0,0,1,0,1,2,0,0,3,3,3
J,1,0,4,0,2,2,2,0,0,0,0,1,3
K,1,4,3,0,0,0,1,1,3,0,0,2,1
L,4,1,0,1,2,0,0,2,3,1,2,0,1
M,1,2,1,1,1,0,4,0,3,3,1,1,0
